size,block_size,seed,cmc_estimate,ginibre_estimate
2500,2500,38399,3.2,3.1408
2500,50,38399,3.1008,3.0448
2500,2,38399,3.144,2.4672
2500,2500,267605,3.1296,3.1408
2500,50,267605,3.1488,3.1104
2500,2,267605,3.1328,2.4784
2500,2500,784925,3.0528,3.1376
2500,50,784925,3.1712,3.048
2500,2,784925,3.176,2.472
2500,2500,418138,3.0976,3.1424
2500,50,418138,3.1536,3.04
2500,2,418138,3.1536,2.4416
2500,2500,170377,3.1424,3.1456
2500,50,170377,3.0512,3.0816
2500,2,170377,3.1648,2.4688
2500,2500,548172,3.1552,3.1312
2500,50,548172,3.12,3.0688
2500,2,548172,3.072,2.4448
2500,2500,201066,3.1536,3.1328
2500,50,201066,3.1408,3.0816
2500,2,201066,3.1312,2.4208
2500,2500,99444,3.1488,3.1312
2500,50,99444,3.0912,3.0352
2500,2,99444,3.1504,2.4432
2500,2500,675483,3.152,3.1216
2500,50,675483,3.1392,3.0624
2500,2,675483,3.2096,2.4272
2500,2500,815292,3.1344,3.1504
2500,50,815292,3.1888,3.0512
2500,2,815292,3.1744,2.448
2500,2500,963172,3.1056,3.1472
2500,50,963172,3.1952,3.0672
2500,2,963172,3.1456,2.464
2500,2500,918713,3.1776,3.1408
2500,50,918713,3.0976,3.0672
2500,2,918713,3.1968,2.4528
2500,2500,210994,3.1152,3.128
2500,50,210994,3.1472,3.0736
2500,2,210994,3.1536,2.4656
2500,2500,876653,3.1248,3.1376
2500,50,876653,3.1552,3.0528
2500,2,876653,3.128,2.4208
2500,2500,948799,3.1648,3.1504
2500,50,948799,3.08,3.0864
2500,2,948799,3.128,2.4528
2500,2500,143249,3.0752,3.1536
2500,50,143249,3.1712,3.048
2500,2,143249,3.1584,2.4944
2500,2500,192524,3.1696,3.1328
2500,50,192524,3.1328,3.0656
2500,2,192524,3.1408,2.4432
2500,2500,22386,3.1056,3.1456
2500,50,22386,3.12,3.0704
2500,2,22386,3.152,2.4048
2500,2500,422560,3.1552,3.1408
2500,50,422560,3.1264,3.056
2500,2,422560,3.088,2.4176
2500,2500,573671,3.1584,3.1472
2500,50,573671,3.1184,3.0368
2500,2,573671,3.1376,2.4112
2500,2500,989677,3.1824,3.1408
2500,50,989677,3.0976,3.0848
2500,2,989677,3.1216,2.4096
2500,2500,362895,3.072,3.1424
2500,50,362895,3.1888,3.0608
2500,2,362895,3.144,2.512
2500,2500,614632,3.0944,3.1328
2500,50,614632,3.0768,3.0704
2500,2,614632,3.184,2.4656
2500,2500,465785,3.1552,3.1424
2500,50,465785,3.1584,3.088
2500,2,465785,3.1552,2.44
2500,2500,124119,3.1424,3.1408
2500,50,124119,3.2208,3.0336
2500,2,124119,3.112,2.4096
2500,2500,685347,3.1376,3.1392
2500,50,685347,3.1856,3.064
2500,2,685347,3.152,2.464
2500,2500,322231,3.2,3.1312
2500,50,322231,3.1392,3.0592
2500,2,322231,3.1808,2.3888
2500,2500,415254,3.1792,3.1344
2500,50,415254,3.128,3.0832
2500,2,415254,3.0768,2.36
2500,2500,851746,3.152,3.128
2500,50,851746,3.2064,3.0336
2500,2,851746,3.1392,2.464
2500,2500,543631,3.1632,3.144
2500,50,543631,3.1376,3.0432
2500,2,543631,3.1392,2.3952
2500,2500,838284,3.1632,3.1376
2500,50,838284,3.12,3.0384
2500,2,838284,3.0944,2.456
2500,2500,424454,3.1072,3.1328
2500,50,424454,3.1616,3.0384
2500,2,424454,3.1568,2.5056
2500,2500,866995,3.1632,3.1472
2500,50,866995,3.1264,3.1072
2500,2,866995,3.1536,2.4704
2500,2500,976248,3.1216,3.1344
2500,50,976248,3.0864,3.048
2500,2,976248,3.144,2.4576
2500,2500,276816,3.1568,3.1216
2500,50,276816,3.144,3.0384
2500,2,276816,3.1328,2.3952
2500,2500,983850,3.1808,3.1392
2500,50,983850,3.0816,3.0656
2500,2,983850,3.1136,2.4384
2500,2500,636580,3.1328,3.1456
2500,50,636580,3.144,3.056
2500,2,636580,3.1376,2.432
2500,2500,761841,3.1824,3.1248
2500,50,761841,3.1184,3.0976
2500,2,761841,3.16,2.4672
2500,2500,719494,3.152,3.136
2500,50,719494,3.1552,3.0496
2500,2,719494,3.1552,2.4144
2500,2500,961969,3.136,3.1344
2500,50,961969,3.128,3.056
2500,2,961969,3.1456,2.4128
2500,2500,185448,3.1824,3.144
2500,50,185448,3.1488,3.056
2500,2,185448,3.128,2.4224
2500,2500,153454,3.0896,3.1376
2500,50,153454,3.1472,3.0656
2500,2,153454,3.1088,2.4544
2500,2500,410612,3.1424,3.1296
2500,50,410612,3.1296,3.0768
2500,2,410612,3.1392,2.432
2500,2500,344745,3.176,3.144
2500,50,344745,3.1232,3.0768
2500,2,344745,3.1328,2.4576
